question_id,question,correct_answer,devstral,nemotron-nano,mistral-675b,ministral-14b,gemma-3-27b-it,gemma-3-4B-T1-it,gemma-3-4b-it,phi-4,gemma-3-taide-12b-chat,llama-3.2-3B-f1-instruct,gpt-oss-20b-mandarin-thinking,gpt-oss-120b-mandarin-thinking,Llama-3.1-Taiwan-8B-Instruct,Llama-3-Taiwan-70B-Instruct,Llama-Breeze2-8B-Instruct,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,Llama-3.3-70B-Instruct,Gemma-3-12b-it
11,"為了改變西方民主政治中「人民所怕所欲皆有能政府」的矛盾心理，國父發明了：
A: 權能區分
B: 平等的精義
C: 五權憲法
D: 均權制度",A,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,"國父為開發中國實業，著有《實業計畫》一書，此書為國家經濟之大政策，試問《實業計畫》可完成哪些建設之目的？
A: 政治及經濟建設
B: 政治及國防建設
C: 社會及經濟建設
D: 經濟及國防建設",D,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,"在節制私人資本辦法中。哪一辦法是最重要且最好的辦法？
A: 社會及工業改良
B: 限制私人企業經營的範圍
C: 直接徵稅
D: 分配社會化。",C,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"所謂萬能政府，就是一個
A: 為民所愛
B: 為民所享的有效能政府
C: 為民所有
D: 為民所治",D,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
15,"中國傳統政治的優點，用來選拔人才與澄清吏治的是：
A: 司法考試
B: 考試監察
C: 行政立法
D: 行政監察。",B,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
16,"孫文學說主張：
A: 知難行易
B: 知易行難
C: 知易行易。
D: 知行合一",A,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
17,"將臺灣割讓給日本，是由於簽訂了：
A: 庚子條約。
B: 北京條約
C: 馬關條約
D: 南京條約",C,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
18,"中共當前的「和平統一中國」中的何種主張，欲將我政府矮化為其地方政府？
A: 一國兩區
B: 一國兩制
C: 一制兩府。
D: 一國兩府",B,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,"民生主義在手段上是一種經濟平等的
A: 放任
B: 自由
C: 競爭經濟
D: 調和",D,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20,"民生主義強調經濟平等性，而有平均地權，節制
A: 放任
B: 資本
C: 浪費
D: 策略",B,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
21,"被視為是國父最根本的革命學問，是指何者？
A: 《孫文學說》
B: 《民權初步》
C: 《實業計畫》
D: 《建國大綱》",A,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
22,"「拿出政治道德和政治良心」是指向：
A: 議會政治
B: 責任政治
C: 法治政治
D: 專家政治",B,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,"中山先生對於國家的起源，採取
A: 社會契約論
B: 武力起源論
C: 神意創造說
D: 自然演化說",B,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
24,"社會正義和民主政治的最後堅強防線是指
A: 立法體系
B: 司法體系
C: 國防體系
D: 考試體系",B,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
25,"國父的三民主義是要打破哪三方面不平等的階級？（甲）宗教上（乙）種族上（丙）文化上（丁）政治上（戊）社會上。
A: 乙丁戊
B: 甲乙丁
C: 丙丁戊
D: 乙丙丁",A,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
26,"立法院議事的混亂，部分源自許多立委的愛作秀，請問是因為他們缺乏什麼？
A: 保守思想
B: 倫理規範及自律精神。
C: 健全心智
D: 強壯身體",B,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
27,"三民主義的一貫精神在於：
A: 求平等
B: 求保障
C: 求獨立。
D: 求生存",A,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
28,"臺灣經驗中以什麼，最受世人矚目？
A: 倫理道德
B: 社會進步
C: 經濟成長
D: 政治民主",C,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
29,"國父說：「天地間所生的東西總沒有相同的。」是指：
A: 假平等
B: 真平等
C: 天生的不平等
D: 人為的不平等。",C,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
30,"要產生共同的意識和思想，進而促進民族的同化，往往從什麼開始？
A: 共同的宗教。
B: 共同的血統
C: 共同的語言
D: 共同的生活",C,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
31,"提出「民有民治民享」的是：
A: 俾斯麥
B: 威爾遜。
C: 林肯
D: 華盛頓",C,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
32,"國父認為構成主義的三個要素為：
A: 思想、信仰、力量
B: 自由、平等、博愛
C: 領土、人民、主權
D: 政治、社會、經濟。",A,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
33,"法國大革命的口號是：
A: 自由、平等、博愛。
B: 民主、自由、均富
C: 民有、民治、民享
D: 倫理、民主、科學",A,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
34,"「中華民國基於三民主義，為民有、民治、民享之民主共和國。」這是出自於：
A: 《建國大綱》
B: 《五權憲法》
C: 《中華民國憲法》。
D: 《地方自治法》",C,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
35,"為求世界各民族一律平等，邁向世界大同，最重要的工作與政策是：
A: 推動濟弱扶傾
B: 加強民族團結
C: 提昇民族地位
D: 建立均衡外交",A,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
36,"盧梭的天賦人權說是用來打破什麼說法的？
A: 君權民授說
B: 人權鬥爭說
C: 革命民權說
D: 君權神授說",D,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
37,"我國現行哪一個機關相當於民主國家的國會？
A: 立法院
B: 監察院
C: 全國人民。
D: 行政院",A,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
38,"倫理建設是以何者為主要的內容？
A: 五倫
B: 八德
C: 四維
D: 三達德",A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39,"依據孟德斯鳩的學說，制定世界第一部成文憲法的是哪一個國家？
A: 美國
B: 中國
C: 英國
D: 法國。",A,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
40,"我國當前的總統、副總統選舉制度是採：
A: 絕對多數當選制
B: 政黨比例制
C: 複數選區制
D: 相對多數當選制。",D,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
41,"一個文明社會中，一個人應享有的基本權利叫做：
A: 民權
B: 君權。 。
C: 人權
D: 治權",C,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
42,"目前我國常設的中央民意機關是：
A: 國民大會
B: 行政院。
C: 立法院
D: 監察院",C,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
43,"對中國來說，那一事件是中國民族運動最悲壯的一段歷史？
A: 五四運動
B: 對日抗戰
C: 武昌起義
D: 甲午戰爭",B,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
44,"政府為開闢道路，而具有強制徵收人民土地的權力，其法理的根本依據為何？
A: 為維持社會秩序
B: 為防止妨礙他人自由
C: 為增進公共利益。
D: 為避免緊急危難",C,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
45,"國父翻譯誰的議事規則而成《民權初步》一書？
A: 沙德女士
B: 洛克。
C: 威爾確斯
D: 亨利佐治",A,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
46,"不分「聖賢才智平庸愚劣」一律平等，是一種：
A: 天然的平等。
B: 假平等
C: 真平等
D: 機會平等",B,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
47,"二十世紀以後人們認為最好的政府是怎樣的政府？
A: 無為而治
B: 財源廣進
C: 人才濟濟
D: 服務最多",D,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
48,"有關主義構成的順序，下列何者正確？
A: 力量→思想→信仰
B: 思想→力量→信仰
C: 力量→信仰→思想
D: 思想→信仰 →力量",D,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
49,"____、____、____和三民主義的民族主義、民權主義、民生主義相同或相通。下列何者符合此一答案？
A: 民治、民有、民享
B: 自由、平等、博愛
C: 思想、信仰、力量
D: 民主、科學、法治",B,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
50,"國父所以主張「用人民來做皇帝」，其最主要的用意為何？
A: 補救政府無能的缺點
B: 減少中國戰禍的發生
C: 實現萬能政府的理想
D: 補救天賦人權理論的缺陷",B,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
51,"中共所信奉的思潮是：
A: 三民主義
B: 馬克思主義
C: 孫逸仙學說
D: 軍國主義。",B,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52,"我國與歐美國家戰爭的肇端是：
A: 鴉片戰爭。
B: 甲午戰爭
C: 八國聯軍
D: 中法戰爭",A,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
53,"依據中華民國憲法的規定，本國國民取得參與政治的公民權資格，其年齡必須年滿幾歲？
A: 二十三歲
B: 二十歲
C: 二十五歲。
D: 十八歲",B,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
54,"國父認為阿拉伯人和猶太人昔日曾國家亡了，民族還能夠存在的道理，是因為有自己的：
A: 宗教
B: 風俗習慣
C: 民族意識
D: 血統",A,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
55,"國父特別指出，直接民權必須以什麼為基礎？
A: 權能區分
B: 全民政治
C: 地方自治
D: 市民主義",C,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
56,"下列何者不是引發英、美、法民權革命的思想家？
A: 洛克
B: 亨利．佐治。
C: 盧梭
D: 孟德斯鳩",B,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
57,"中國近代民族問題，源自那一族採種族歧視政策？
A: 列強
B: 蒙古
C: 滿族
D: 漢族",C,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
58,"國父說：「盧梭是歐洲主張極端民權的人，因有他的民權思想，便發生：
A: 法國革命
B: 英國光榮革命
C: 日俄戰爭。
D: 美國獨立戰爭",A,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
59,"社會主義的意涵不包括：
A: 經濟平等
B: 自由競爭
C: 福利國家
D: 保障弱勢",B,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
60,"民生主義的最高理想在建立怎樣的社會？
A: 道德高尚
B: 自由安全
C: 政治平等
D: 文化復興",B,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
61,"所謂國內各民族一律平等，就是國內各民族在什麼上受同樣的保護和約束？
A: 工作
B: 教育
C: 政治
D: 法律",D,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
62,"依我國憲法規定，人民的義務包括：服兵役、納稅及
A: 選舉
B: 受教育
C: 複決
D: 創制",B,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
63,"我國行政院的施政是向何者負責？
A: 司法院
B: 監察院
C: 考試院
D: 立法院",D,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
64,"將臺灣的山地同胞，正式正名為「原住民」外，並強調積極維護其發展語言與文化的是：
A: 人民團體法
B: 國家統一綱領
C: 中華民國憲法
D: 中華民國憲法增修條文",D,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
65,"政府近年來所推行的「全民健保」是屬於國父的哪一種思想？
A: 自由主義
B: 民權主義
C: 民族主義
D: 民生主義",D,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
66,"在西方電影中經常會出現描述美國境內種族紛爭的情節，造成其種族衝突的主要原因是？
A: 膚色
B: 語言
C: 經濟。
D: 宗教",A,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
67,"國父認為阿拉伯人和猶太人國家雖亡，而民族之所以能夠存在的道理，就是因為各有各的：
A: 語言
B: 風俗習慣。
C: 宗教
D: 生活",C,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
68,"在節制私人資本辦法中。哪一辦法是最重要且最好的辦法？
A: 分配社會化
B: 直接徵稅
C: 社會及工業改良
D: 限制私人企業經營的範圍",B,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
69,"不分「聖、賢、才、智、平、庸、愚、劣」一律求其平等，是一種怎樣的平等？
A: 機會平等
B: 假平等
C: 天然平等
D: 真平等",B,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70,"歐美的社會問題起因有二，一是工業革命，另一是什麼？
A: 社會主義
B: 資本主義
C: 自由主義
D: 個人主義",B,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
71,"均權制度是：凡事務有全國一致之性質者劃歸中央，有因地制宜之性質者劃歸
A: 立法院
B: 考試院
C: 地方
D: 司法院",C,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
72,"中國人不論身在何處，每到農曆年總會想要返鄉團圓，這是一種：
A: 風俗習慣
B: 法律
C: 迷信。
D: 宗教",A,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
73,"國父主張解決民生問題要用何種方式？
A: 示威遊行
B: 和平方法
C: 立法程序
D: 強迫手段",B,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
74,"三民主義是指
A: 民族、自由、平等三種主義
B: 社會、資本、共產等三種主義
C: 自主、平等、博愛等三種主義
D: 民族、民權、民生等三種主義",D,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75,"歐美在工業革命後，何種主義興起並盛行？
A: 共產主義
B: 民本主義
C: 資本主義。
D: 社會主義",C,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76,"孟子的「民為貴，社稷次之，君為輕」代表的是中國古代的一種
A: 民生思想。
B: 民族
C: 君主
D: 民本",D,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77,"中國的民權革命運動肇始於什麼？
A: 國民革命
B: 太平天國
C: 美麗島事件
D: 五四運動",A,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
78,"減少金權掛勾，維護公務員的清廉，須制訂：
A: 訴願法
B: 行政訴訟法
C: 公職人員財產申報法。
D: 刑事訴訟法",C,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
79,"在野黨如獲多數人民信賴、肯定，在選舉時將會造成什麼效應？
A: 革命動亂
B: 社會不安
C: 政權輪替
D: 股市崩盤",C,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
80,"下列何種作法有助於達成「均富」的目標？
A: 建立全面公有財產制
B: 政府放任市場自由競爭
C: 經濟計畫與經濟自由並重
D: 政府統管物資生產與分配",C,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
81,"我民族特別重視農曆年、端午節、中秋節以及清明掃墓等，這是因為民族構成要素中的哪一項使然？
A: 生活
B: 風俗習慣
C: 宗教
D: 語言",B,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
82,"經過六次修憲後，我國憲法原賦予國民大會的職務權限，大多歸於：
A: 立法院
B: 司法院。
C: 行政院
D: 監察院",A,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
83,"要產生共同的意識和思想，進而促進民族的同化，往往從什麼開始？
A: 相同的宗教
B: 相同的血統
C: 相同的語言
D: 相同的生活",C,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
84,"「民族主義」的分析中，可知「民族」是
A: 靠經濟力維持的
B: 靠國家的政治力維持的
C: 靠天然力形成的
D: 靠武力維持的",C,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
85,"民族、民權、民生這三個主義可以一貫起來，其一貫的道理都是：
A: 打不平等的
B: 求平均
C: 爭獨立
D: 救人類",A,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
86,"在民主政治之下，國家之事即
A: 人民之事
B: 國會之事
C: 社會福利單位之事
D: 總統之事",A,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
87,"因應「政治參與」的課題，使競爭而不鬥爭，應加強
A: 拖延戰
B: 烏賊戰
C: 政黨政治
D: 口水戰",C,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
88,"何者既是國家的根本大法，又是人民權利之保障書？
A: 行政法。
B: 刑法
C: 憲法
D: 公司法",C,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
89,"近代歐洲民族向外侵略壓迫的理論基礎是什麼？
A: 歐文主義
B: 馬克思主義
C: 資本主義
D: 社會達爾文主義",D,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90,"近代歐洲提倡「天賦人權」、主張人類生而有追求自由平等權利的是：
A: 威爾確斯。
B: 孟德斯鳩
C: 盧梭
D: 喜斯羅",C,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
91,"現今複合民族國家中最和諧的國家是：
A: 挪威
B: 日本。
C: 韓國
D: 瑞士",D,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
92,"何人著有《自由論》一書，主張「一個人的自由以不侵犯他人的自由為範圍，才是真自由。」：
A: 威爾確斯。
B: 達爾文
C: 俾斯麥
D: 約翰．彌勒",D,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
